Origin,Artist_Name,Artwork_Name,Year
None,Albert Marquet,Harbor of Menton,1905
None,Albert Marquet,House at Saint-Tropez,1905
None,Albert Marquet,Outskirts of Paris,1905
None,Albert Marquet,The Louvre Embankment,1905
None,Albert Marquet,The Pont Saint-Michel and Notre Dame,1905
None,Albert Marquet,The Port of Saint-Tropez,1905
None,Albert Marquet,View of Agay,1905
None,Albert Marquet,Carnival on the Beach,1906
None,Albert Marquet,July 14th at Havre,1906
None,Albert Marquet,Posters at Trouville,1906
None,Albert Marquet,The Artist's Mother,1906
None,Albert Marquet,The Beach at Sainte-Adresse,1906
None,Albert Marquet,The Pont Neuf,1906
None,Albert Marquet,"The Port, Le Havre",1906
None,Albert Marquet,Embankments of the Seine in Paris,1907
None,Albert Marquet,Bay of Naples,1908
None,Albert Marquet,Le Havre,1911
None,Albert Marquet,Nude on a Divan,1912
None,Albert Marquet,Nude on a Blue Background,1913
None,Albert Marquet,A Horse in Marseille,1916
None,Albert Marquet,Port of Marseilles,1916
None,Albert Marquet,The Port of Algiers with Haze,1943
None,Albert Oehlen,Black Rationality,1982
