	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
116	Mozambique	799380.0	World	6442.133	6972.069	7647.284	8473.847	9453.375	10620.26	12142.014	13338.85	13567.959	15981.571	18275.618	21010.376	23967.265	27121.827
117	Myanmar	676590.0	World	17527.243	19282.172	21486.424	24023.64	27166.045	30640.635	34474.755	38546.211	42123.003	45329.862	48453.0	50181.02	51931.231	54164.262
118	Namibia	824290.0	World	485.274	537.519	602.545	682.553	780.386	905.647	1012.761	1149.389	1415.447	1654.214	1897.953	2027.026	2178.967	2392.37
119	Nepal	147180.0	World	8140.192	8799.61	9544.938	10443.932	11559.455	12871.016	14384.864	16143.975	18111.2	20587.157	23184.177	25292.058	26846.016	28440.629
120	Netherlands	41500.0	World	10027.047	10680.98	11418.507	12213.453	12957.82	13599.001	14087.014	14451.798	14890.341	15420.0	15859.863	16302.242	16615.243	16844.195
121	New Caledonia	18580.0	World	64.824	67.75	78.058	91.197	105.025	128.216	141.866	153.929	168.537	189.22	210.01	228.714	246.379	263.147
122	New Zealand	267710.0	World	1908.001	2136.002	2372.0	2628.004	2819.597	3083.108	3147.183	3268.709	3397.983	3675.06	3858.032	4134.117	4368.136	4596.396
123	Nicaragua	130370.0	World	1294.993	1507.937	1774.574	2062.932	2399.677	2798.048	3250.47	3709.708	4137.788	4659.458	5100.92	5455.219	5822.209	6256.51
124	Niger	1267000.0	World	2559.703	2930.345	3337.141	3836.373	4412.638	5070.583	5834.248	6705.21	7753.907	9167.078	10989.815	13183.798	15893.746	19268.38
125	Nigeria	923770.0	World	37859.744	41122.332	45211.614	50238.57	56131.845	63565.601	73698.099	83901.572	95617.35	108424.827	122876.727	139585.891	159707.78	183523.432
126	Northern Mariana Islands	460.0	World	6.999	8.026	10.07	11.157	13.203	15.232	17.048	30.341	43.972	57.518	68.434	64.372	53.86	55.07
127	Norway	385178.0	World	3265.278	3429.431	3582.016	3724.065	3875.719	4006.221	4082.525	4148.355	4240.375	4359.788	4491.572	4624.388	4891.251	5142.842
128	Oman	309500.0	World	456.418	495.824	551.737	625.007	723.85	882.044	1154.375	1498.416	1810.103	2154.6	2192.535	2522.325	2802.768	4157.783
129	Pakistan	796100.0	World	37542.38	40764.427	45540.594	51746.67	59204.212	68155.252	79984.297	94783.463	111090.879	126689.577	143832.014	157971.415	173149.306	188144.04
130	Palau	460.0	World	7.441	8.259	9.638	10.782	11.481	12.28	12.197	13.698	15.089	17.255	19.174	19.907	20.47	21.291
131	Panama	75420.0	World	859.66	982.645	1136.09	1319.261	1525.683	1753.706	1990.062	2233.064	2486.776	2757.004	3054.812	3365.929	3678.128	3987.866
132	Papua New Guinea	462840.0	World	1708.192	1821.496	1966.957	2161.102	2434.754	2809.692	3215.483	3677.854	4157.903	4715.929	5379.226	6095.959	6858.945	7631.819
133	Paraguay	406752.0	World	1473.245	1674.828	1907.041	2178.003	2484.736	2805.232	3198.848	3703.512	4249.747	4801.834	5350.253	5904.17	6459.721	7032.942
134	Peru	1285220.0	World	7632.461	8671.638	9931.518	11468.043	13194.548	15164.288	17328.542	19525.2	21772.035	23939.261	26000.08	27723.281	29262.83	31161.167
135	Philippines	300000.0	World	18580.487	22178.599	26271.731	30913.136	35805.06	41296.295	47398.432	54324.952	61948.688	69606.539	77651.848	85821.214	93444.322	101802.706
136	Poland	312680.0	World	24824.013	27352.141	29645.579	31391.825	32632.056	34010.619	35640.731	37284.545	38149.944	38479.899	38351.437	38206.337	38198.754	38221.584
137	Portugal	92220.0	World	8416.969	8661.418	8875.311	8888.635	8670.352	9185.876	9764.82	9938.162	9899.45	10097.055	10306.192	10510.967	10589.792	10610.014
138	Puerto Rico	8870.0	World	2218.0	2247.415	2355.57	2577.53	2709.813	2931.932	3187.704	3369.714	3517.984	3689.649	3796.981	3761.143	3709.671	3680.058
139	Qatar	11610.0	World	24.999	35.838	47.316	73.554	109.342	164.354	223.752	371.026	476.517	501.154	593.693	821.159	1749.713	2350.549
140	Romania	238390.0	World	16236.292	17389.991	18457.807	19037.432	20331.839	21469.734	22399.772	22897.617	23372.101	22963.512	22388.354	22113.264	21861.476	21579.201
141	Russian Federation	17098250.0	World	102798.657	111555.224	120057.109	126679.945	130357.806	134134.567	138535.754	143524.125	148148.752	148602.147	146762.881	143932.966	143617.913	142098.141
142	Rwanda	26340.0	World	2186.187	2525.524	2933.424	3232.937	3754.546	4359.166	5140.786	6112.554	7214.696	5663.838	8395.577	9429.457	10836.732	12428.005
143	Samoa	2840.0	World	82.102	94.209	108.645	127.068	143.175	151.383	155.554	160.03	162.865	170.158	174.614	179.928	186.029	193.228
144	San Marino	60.0	World	12.781	13.767	15.393	17.44	19.136	19.732	21.397	22.776	24.135	25.68	26.969	29.775	30.861	31.802
145	Sao Tome and Principe	960.0	World	60.0	58.782	64.255	64.797	74.251	82.607	94.953	104.371	117.395	130.378	139.428	154.615	178.228	202.781
146	Saudi Arabia	2149690.0	World	3121.336	3553.33	4072.11	4822.502	5802.967	7377.881	9843.265	13273.786	16206.078	18567.343	20144.584	24690.067	27258.387	29897.741
147	Senegal	196710.0	World	2476.638	2782.082	3177.737	3649.456	4218.056	4901.053	5568.908	6437.891	7514.11	8711.528	9861.679	11270.826	12950.564	14967.446
148	Serbia	88360.0	World	6732.256	7269.266	7657.958	7961.833	8236.185	8613.464	9057.483	9444.963	9735.429	10374.777	10272.445	9956.359	9647.109	9424.03
149	Seychelles	455.0	World	36.322	38.856	41.377	46.555	52.164	59.256	65.679	68.982	69.474	75.433	79.774	87.094	91.208	93.754
150	Sierra Leone	72300.0	World	1944.001	2035.984	2160.111	2320.858	2531.874	2820.782	3180.237	3584.397	4042.678	3927.105	4139.757	5119.895	5751.976	6318.575
151	Singapore	717.0	World	1022.098	1305.733	1633.72	1879.573	2074.073	2262.395	2414.527	2708.638	3016.404	3482.64	3918.189	4495.537	5078.969	5618.866
152	Slovenia	20270.0	World	1473.094	1532.634	1579.997	1630.319	1669.75	1742.038	1831.862	1947.594	2003.772	1991.848	1989.545	2000.349	2054.232	2079.085
153	Solomon Islands	28900.0	World	89.793	102.027	117.869	136.847	160.292	193.447	230.614	270.809	311.849	359.236	412.336	469.306	526.447	584.482
154	Somalia	637660.0	World	2264.081	2491.53	2756.38	3069.558	3445.42	3880.955	6089.707	6068.425	6321.615	6346.44	7385.416	8466.938	9636.173	11122.711
155	South Africa	1219090.0	World	13683.162	15384.557	17396.367	19813.947	22502.502	25698.856	29077.143	32983.013	36793.49	41426.81	44846.286	48235.291	51452.352	53491.333
156	Spain	505940.0	World	28069.737	29097.441	30419.288	32114.414	33795.638	35739.162	37493.383	38471.834	38883.045	39420.568	40282.828	43387.477	46182.038	47199.069
157	Sri Lanka	65610.0	World	8075.81	8832.057	9895.154	11115.864	12484.794	13754.662	15033.175	16175.256	17323.977	18241.711	18846.401	19951.291	20758.779	21611.842
158	Sudan	1879357.5	World	5733.944	6542.583	7527.45	8738.703	10232.758	12075.841	14418.063	17097.619	20008.804	24529.722	27729.798	31585.871	35652.002	39613.217
159	Suriname	163820.0	World	214.999	250.094	290.137	332.315	372.311	364.402	365.616	375.979	406.764	435.776	466.668	499.523	524.96	548.456
160	Swaziland	17360.0	World	273.0	307.249	349.233	391.659	445.844	517.1	603.373	705.492	862.728	963.428	1063.715	1104.642	1193.148	1285.519
161	Sweden	447420.0	World	7009.913	7259.579	7479.602	7741.167	8049.049	8192.693	8310.915	8350.814	8559.107	8826.72	8872.284	9030.163	9382.297	9693.883
162	Switzerland	41285.0	World	4668.088	4970.81	5296.12	5829.958	6169.357	6356.178	6303.608	6455.68	6673.92	7017.042	7165.581	7408.608	7830.534	8238.61
163	Syrian Arab Republic	185180.0	World	3413.329	3921.864	4592.777	5398.333	6378.802	7564.0	8956.156	10667.245	12451.539	14338.24	16371.208	18167.367	21532.647	22264.996
164	Tajikistan	142550.0	World	1531.502	1774.504	2064.035	2489.648	2919.586	3412.819	3917.642	4540.688	5297.286	5784.33	6186.152	6805.655	7627.326	8610.384
165	Thailand	513120.0	World	20607.323	23651.64	27362.31	31816.307	36878.58	42332.566	47369.137	52031.925	56582.726	58983.954	62343.379	65559.487	66402.316	67400.746
166	Timor-Leste	14870.0	World	433.398	461.526	499.681	547.688	604.392	662.981	580.73	659.876	751.488	866.7	853.585	995.619	1079.45	1172.668
