"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",10,"APPARAO GUDIVADA","IND",324,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",8,"S.V.B.REDDY","IND",410,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",7,"VAMSI KIRAN.B","PPOI",531,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",3511,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",1040,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",1,"JANARDHANA REDDY NEDURU","INC",137852,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",103003,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",1112,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",4,"BHARANIKANA RAMA RAO","IND",3900,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",629,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",4,"BHARANIKANA RAMA RAO","IND",461,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",508,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",1,"JANARDHANA REDDY NEDURU","INC",55226,"Andhara_Pradesh"
