"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,28,"Karimnagar","GEN","Vemulawada","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
